,0
bat_action,0
bat_SOC,0.15
bat_CO2_footprint,380899.11224824074
bat_avg_CI,500.6371890943822
bat_total_energy_without_battery_KWh,610.8286410709134
bat_total_energy_with_battery_KWh,760.8286410709134
bat_max_bat_cap,2
bat_a_t,charge
bat_dcload_min,0.6
bat_dcload_max,1.81
ls_shifted_workload,0.6978675865310675
ls_action,1
ls_norm_load_left,1.0
ls_unasigned_day_load_left,0
ls_out_of_time_flag,False
dc_ITE_total_power_kW,2443.3145642836535
dc_HVAC_total_power_kW,0.0
dc_total_power_kW,2443.3145642836535
dc_energy_lb,40000
dc_energy_ub,160000
dc_crac_setpoint_delta,-5
dc_crac_setpoint,15.0
dc_cpu_workload_percent,0.6978675865310675
dc_int_temperature,29.60908672326766
temp,3.500612715189843
day,0
hour,0.25
day_workload,0
workload,0.6978675865310675
